Date,High,Low,Open,Close,Volume,Adj Close
2019-12-31 00:00:00,213.6399994,210.7299957,212,212.1000061,6773600,212.1000061
2020-01-02 00:00:00,219.9799957,216.5399933,216.6000061,219.7700043,15873500,219.7700043
2020-01-03 00:00:00,218.2030029,216.0099945,216.3500061,217,8604500,217
2020-01-06 00:00:00,217.1600037,214.0899963,214.8899994,216.6399994,11885500,216.6399994
2020-01-07 00:00:00,218.9400024,216.6900024,217.6399994,217.6300049,9388000,217.6300049
2020-01-08 00:00:00,220.6499939,216.3200073,216.6000061,218,11959100,218
2020-01-09 00:00:00,223.0800018,220.8200073,221.5,221.7799988,13122500,221.7799988
2020-01-10 00:00:00,225.9600067,222.0610046,223.8999939,223.8300018,12296000,223.8300018
2020-01-13 00:00:00,231.1399994,227.0399933,228.8099976,230.4799957,17544800,230.4799957
2020-01-14 00:00:00,230.1750031,224.8800049,230.0500031,226.4900055,17266900,226.4900055
2020-01-15 00:00:00,227.8200073,224.3899994,226.6499939,225.0599976,10743400,225.0599976
2020-01-16 00:00:00,226.3300018,222.7299957,226.3000031,223.9400024,13700500,223.9400024
2020-01-17 00:00:00,228,225.3500061,225.8999939,227.4299927,12956200,227.4299927
2020-01-21 00:00:00,222.6000061,220.7299957,222.4499969,222.2599945,15831100,222.2599945
2020-01-22 00:00:00,225.5800018,222,224.6900024,222.3699951,10059600,222.3699951
2020-01-23 00:00:00,220.1300049,216.7700043,217.9299927,219.1300049,18519900,219.1300049
2020-01-24 00:00:00,219.8300018,211.3249969,218.4900055,213.75,18143900,213.75
2020-01-27 00:00:00,208.0200043,199.5,201.2200012,205.4700012,24574700,205.4700012
2020-01-28 00:00:00,210.9100037,207.1699982,209.7400055,210.2299957,16196700,210.2299957
2020-01-29 00:00:00,213.9799957,209.5200043,212.5599976,212.0200043,12871900,212.0200043
2020-01-30 00:00:00,209.8600006,205.0299988,207.8800049,208.5800018,14376000,208.5800018
2020-01-31 00:00:00,207.9299927,204.7279968,206.5,206.5899963,18181400,206.5899963
